ID_Loja,Nome_Loja,Cidade,Pais
1,Loja 1,Berlim,Alemanha
2,Loja 2,Berlim,Alemanha
3,Loja 3,Johannesburg,África do Sul
4,Loja 4,Tóquio,Japão
5,Loja 5,Nairobi,Quênia
6,Loja 6,Cingapura,Singapura
7,Loja 7,Kuala Lumpur,Malásia
8,Loja 8,Nairobi,Quênia
9,Loja 9,Cingapura,Singapura
10,Loja 10,Buenos Aires,Argentina
11,Loja 11,Katmandu,Nepal
12,Loja 12,Berlim,Alemanha
13,Loja 13,Kinshasa,República Democrática do Congo
14,Loja 14,Sydney,Austrália
15,Loja 15,Toronto,Canadá
16,Loja 16,Jacarta,Indonésia
17,Loja 17,São Paulo,Brasil
18,Loja 18,Dakar,Senegal
19,Loja 19,Sydney,Austrália
20,Loja 20,Osaka,Japão
21,Loja 21,Cingapura,Singapura
22,Loja 22,Paris,França
23,Loja 23,Colombo,Sri Lanka
24,Loja 24,Osaka,Japão
25,Loja 25,Bangkok,Tailândia
26,Loja 26,Berlim,Alemanha
27,Loja 27,Seul,Coreia do Sul
28,Loja 28,Osaka,Japão
29,Loja 29,Kinshasa,República Democrática do Congo
30,Loja 30,Colombo,Sri Lanka
31,Loja 31,Dakar,Senegal
32,Loja 32,Kinshasa,República Democrática do Congo
33,Loja 33,Nova Deli,Índia
34,Loja 34,Bangkok,Tailândia
35,Loja 35,Hong Kong,Hong Kong
36,Loja 36,Osaka,Japão
37,Loja 37,Beirute,Líbano
38,Loja 38,Colombo,Sri Lanka
39,Loja 39,Dakar,Senegal
40,Loja 40,Doha,Catar
41,Loja 41,Sydney,Austrália
42,Loja 42,Hanói,Vietnã
43,Loja 43,Damasco,Síria
44,Loja 44,Taipei,Taiwan
45,Loja 45,Abu Dhabi,Emirados Árabes Unidos
46,Loja 46,Pequim,China
47,Loja 47,Nairobi,Quênia
48,Loja 48,Cabul,Afeganistão
49,Loja 49,Bogotá,Colômbia
50,Loja 50,Seul,Coreia do Sul
51,Loja 51,Kinshasa,República Democrática do Congo
52,Loja 52,Doha,Catar
53,Loja 53,Dakar,Senegal
54,Loja 54,Hong Kong,Hong Kong
55,Loja 55,Santiago,Chile
56,Loja 56,Islamabad,Paquistão
57,Loja 57,Hong Kong,Hong Kong
58,Loja 58,Bagdá,Iraque
59,Loja 59,Paris,França
60,Loja 60,Lagos,Nigéria
61,Loja 61,Manila,Filipinas
62,Loja 62,Madri,Espanha
63,Loja 63,Riyadh,Arábia Saudita
64,Loja 64,Riyadh,Arábia Saudita
65,Loja 65,Berlim,Alemanha
66,Loja 66,Casablanca,Marrocos
67,Loja 67,Madri,Espanha
68,Loja 68,Lagos,Nigéria
69,Loja 69,Buenos Aires,Argentina
70,Loja 70,Dhaka,Bangladesh
71,Loja 71,Islamabad,Paquistão
72,Loja 72,Trípoli,Líbia
73,Loja 73,Phnom Penh,Camboja
74,Loja 74,Doha,Catar
75,Loja 75,Cingapura,Singapura
76,Loja 76,Madri,Espanha
77,Loja 77,Rio de Janeiro,Brasil
78,Loja 78,Islamabad,Paquistão
79,Loja 79,Beirute,Líbano
80,Loja 80,Seul,Coreia do Sul
81,Loja 81,Cingapura,Singapura
82,Loja 82,Yangon,Mianmar
83,Loja 83,Jerusalém,Israel
84,Loja 84,Sydney,Austrália
85,Loja 85,Nova Deli,Índia
86,Loja 86,Hong Kong,Hong Kong
87,Loja 87,Paris,França
88,Loja 88,Argel,Argélia
89,Loja 89,Túnis,Tunísia
90,Loja 90,Bogotá,Colômbia
91,Loja 91,Bagdá,Iraque
92,Loja 92,Casablanca,Marrocos
93,Loja 93,Nova Deli,Índia
94,Loja 94,Roma,Itália
95,Loja 95,Doha,Catar
96,Loja 96,Bangkok,Tailândia
97,Loja 97,Cidade do México,México
98,Loja 98,Lagos,Nigéria
99,Loja 99,Jerusalém,Israel
100,Loja 100,Roma,Itália
101,Loja 101,Jerusalém,Israel
102,Loja 102,Lima,Peru
103,Loja 103,Yangon,Mianmar
104,Loja 104,Kuala Lumpur,Malásia
105,Loja 105,Lagos,Nigéria
106,Loja 106,Abu Dhabi,Emirados Árabes Unidos
107,Loja 107,Damasco,Síria
108,Loja 108,Santiago,Chile
109,Loja 109,Madri,Espanha
110,Loja 110,Katmandu,Nepal
111,Loja 111,Lagos,Nigéria
112,Loja 112,Rio de Janeiro,Brasil
113,Loja 113,Dhaka,Bangladesh
114,Loja 114,Casablanca,Marrocos
115,Loja 115,Manila,Filipinas
116,Loja 116,Buenos Aires,Argentina
117,Loja 117,Nova York,Estados Unidos
118,Loja 118,Islamabad,Paquistão
119,Loja 119,São Paulo,Brasil
120,Loja 120,Buenos Aires,Argentina
121,Loja 121,Pequim,China
122,Loja 122,Colombo,Sri Lanka
123,Loja 123,Kuala Lumpur,Malásia
124,Loja 124,Trípoli,Líbia
125,Loja 125,Santiago,Chile
126,Loja 126,Berlim,Alemanha
127,Loja 127,Tóquio,Japão
128,Loja 128,Dubai,Emirados Árabes Unidos
129,Loja 129,Osaka,Japão
130,Loja 130,Argel,Argélia
131,Loja 131,Kinshasa,República Democrática do Congo
132,Loja 132,Cingapura,Singapura
133,Loja 133,Katmandu,Nepal
134,Loja 134,Dhaka,Bangladesh
135,Loja 135,Jacarta,Indonésia
136,Loja 136,Katmandu,Nepal
137,Loja 137,Nairobi,Quênia
138,Loja 138,Amã,Jordânia
139,Loja 139,Bogotá,Colômbia
140,Loja 140,Madri,Espanha
141,Loja 141,Buenos Aires,Argentina
142,Loja 142,Nova Deli,Índia
143,Loja 143,Toronto,Canadá
144,Loja 144,Madri,Espanha
145,Loja 145,Lima,Peru
146,Loja 146,Jerusalém,Israel
147,Loja 147,Hong Kong,Hong Kong
148,Loja 148,Islamabad,Paquistão
149,Loja 149,Phnom Penh,Camboja
150,Loja 150,Jacarta,Indonésia
151,Loja 151,Damasco,Síria
152,Loja 152,Cidade do México,México
153,Loja 153,Riyadh,Arábia Saudita
154,Loja 154,Tóquio,Japão
155,Loja 155,Trípoli,Líbia
156,Loja 156,Jerusalém,Israel
157,Loja 157,Santiago,Chile
158,Loja 158,Londres,Reino Unido
159,Loja 159,Doha,Catar
160,Loja 160,Tóquio,Japão
161,Loja 161,Seul,Coreia do Sul
162,Loja 162,Mumbai,Índia
163,Loja 163,Damasco,Síria
164,Loja 164,Nairobi,Quênia
165,Loja 165,Lagos,Nigéria
166,Loja 166,Islamabad,Paquistão
167,Loja 167,Yangon,Mianmar
168,Loja 168,Riyadh,Arábia Saudita
169,Loja 169,Bagdá,Iraque
170,Loja 170,Kyoto,Japão
171,Loja 171,Phnom Penh,Camboja
172,Loja 172,Cairo,Egito
173,Loja 173,Cidade do México,México
174,Loja 174,Trípoli,Líbia
175,Loja 175,Johannesburg,África do Sul
176,Loja 176,Kyoto,Japão
177,Loja 177,Nairobi,Quênia
178,Loja 178,Cairo,Egito
179,Loja 179,Tóquio,Japão
180,Loja 180,Dhaka,Bangladesh
181,Loja 181,Kinshasa,República Democrática do Congo
182,Loja 182,Santiago,Chile
183,Loja 183,Jacarta,Indonésia
184,Loja 184,Johannesburg,África do Sul
185,Loja 185,Tóquio,Japão
186,Loja 186,Teerã,Irã
187,Loja 187,Beirute,Líbano
188,Loja 188,Kinshasa,República Democrática do Congo
189,Loja 189,Jerusalém,Israel
190,Loja 190,Tóquio,Japão
191,Loja 191,Yangon,Mianmar
192,Loja 192,Riyadh,Arábia Saudita
193,Loja 193,Bangkok,Tailândia
194,Loja 194,Kyoto,Japão
195,Loja 195,Osaka,Japão
196,Loja 196,Los Angeles,Estados Unidos
197,Loja 197,Lima,Peru
198,Loja 198,Katmandu,Nepal
199,Loja 199,Teerã,Irã
200,Loja 200,Jacarta,Indonésia
201,Loja 201,São Paulo,Brasil
202,Loja 202,Nova York,Estados Unidos
203,Loja 203,Moscou,Rússia
204,Loja 204,Manila,Filipinas
205,Loja 205,Cabul,Afeganistão
206,Loja 206,Kyoto,Japão
207,Loja 207,Mumbai,Índia
208,Loja 208,Tóquio,Japão
209,Loja 209,Seul,Coreia do Sul
210,Loja 210,Berlim,Alemanha
211,Loja 211,Rio de Janeiro,Brasil
212,Loja 212,Istambul,Turquia
213,Loja 213,Istambul,Turquia
214,Loja 214,Beirute,Líbano
215,Loja 215,Hong Kong,Hong Kong
216,Loja 216,Jacarta,Indonésia
217,Loja 217,Trípoli,Líbia
218,Loja 218,Argel,Argélia
219,Loja 219,Londres,Reino Unido
220,Loja 220,Abu Dhabi,Emirados Árabes Unidos
221,Loja 221,Beirute,Líbano
222,Loja 222,Los Angeles,Estados Unidos
223,Loja 223,Cairo,Egito
224,Loja 224,Doha,Catar
225,Loja 225,Dhaka,Bangladesh
226,Loja 226,Istambul,Turquia
227,Loja 227,Dhaka,Bangladesh
228,Loja 228,Johannesburg,África do Sul
229,Loja 229,Johannesburg,África do Sul
230,Loja 230,Cabul,Afeganistão
231,Loja 231,Amã,Jordânia
232,Loja 232,Colombo,Sri Lanka
233,Loja 233,Túnis,Tunísia
234,Loja 234,Beirute,Líbano
235,Loja 235,Túnis,Tunísia
236,Loja 236,Dubai,Emirados Árabes Unidos
237,Loja 237,Paris,França
238,Loja 238,Seul,Coreia do Sul
239,Loja 239,Bangkok,Tailândia
240,Loja 240,Berlim,Alemanha
241,Loja 241,Moscou,Rússia
242,Loja 242,Kyoto,Japão
243,Loja 243,Moscou,Rússia
244,Loja 244,Phnom Penh,Camboja
245,Loja 245,Johannesburg,África do Sul
246,Loja 246,Manila,Filipinas
247,Loja 247,Santiago,Chile
248,Loja 248,Roma,Itália
249,Loja 249,Damasco,Síria
250,Loja 250,Nova Deli,Índia
251,Loja 251,Tóquio,Japão
252,Loja 252,Bogotá,Colômbia
253,Loja 253,Argel,Argélia
254,Loja 254,Cabul,Afeganistão
255,Loja 255,Beirute,Líbano
256,Loja 256,Doha,Catar
257,Loja 257,Phnom Penh,Camboja
258,Loja 258,Bagdá,Iraque
259,Loja 259,Istambul,Turquia
260,Loja 260,Teerã,Irã
261,Loja 261,Túnis,Tunísia
262,Loja 262,Kinshasa,República Democrática do Congo
263,Loja 263,Dubai,Emirados Árabes Unidos
264,Loja 264,Bogotá,Colômbia
265,Loja 265,Hanói,Vietnã
266,Loja 266,Santiago,Chile
267,Loja 267,Colombo,Sri Lanka
268,Loja 268,Nova Deli,Índia
269,Loja 269,Seul,Coreia do Sul
270,Loja 270,Doha,Catar
271,Loja 271,Phnom Penh,Camboja
272,Loja 272,Taipei,Taiwan
273,Loja 273,Seul,Coreia do Sul
274,Loja 274,Nova York,Estados Unidos
