Nome_Produto,Categoria_Produto,Total_Produtos_Vendidos,Total_Categoria_Vendida,Lucro_Total,Status_Alerta
"Lâmpada 956","Casa e Jardim",1809,149160,-175128.67,"Alerta: Preço Base Muito Maior"
"Cadeira 924",Móveis,1805,142063,-509415.6,"Alerta: Preço Base Muito Maior"
"Jogo de tabuleiro 622",Brinquedos,1796,157064,-578477.66,"Alerta: Preço Base Muito Maior"
"Arroz 164",Alimentos,1793,135868,-282869.04,"Alerta: Preço Base Muito Maior"
"Notebook 257",Eletrônicos,1779,134599,-223973.37,"Alerta: Preço Base Muito Maior"
"Jaqueta 609",Roupas,1776,158263,-370468.35,"Alerta: Preço Base Muito Maior"
"Carrinho 302",Brinquedos,1769,157064,-258676.07,"Alerta: Preço Base Muito Maior"
"Carne 290",Alimentos,1768,135868,118819.72,"Alerta: Preço Base Muito Maior"
"Maquiagem 621",Beleza,1752,148734,-426100.69,"Alerta: Preço Base Muito Maior"
"Mesa 556",Móveis,1749,142063,-331140.03,"Alerta: Preço Base Muito Maior"
"Arroz 810",Alimentos,1742,135868,-35735.29,"Alerta: Preço Base Muito Maior"
"Bicicleta 263",Brinquedos,1734,157064,80397.84,"Alerta: Preço Base Muito Maior"
"Guarda-roupa 374",Móveis,1731,142063,-322313.19,"Alerta: Preço Base Muito Maior"
"Biografia 509",Livros,1729,190052,-29968.73,"Alerta: Preço Base Muito Maior"
"Sapato 381",Roupas,1729,158263,-137852.5,"Alerta: Preço Base Muito Maior"
"Ficção Científica 474",Livros,1723,190052,-487062.86,"Alerta: Preço Base Muito Maior"
"Ficção Científica 656",Livros,1723,190052,10014,"Alerta: Preço Base Muito Maior"
"Vaso de planta 502","Casa e Jardim",1722,149160,-182564.93,"Alerta: Preço Base Muito Maior"
"Arroz 552",Alimentos,1719,135868,132163.79,"Alerta: Preço Base Muito Maior"
"Furadeira 370",Ferramentas,1719,133253,-293230.87,"Alerta: Preço Base Muito Maior"
"Smartphone 663",Eletrônicos,1719,134599,-392170.79,"Alerta: Preço Base Muito Maior"
"Cortina 262","Casa e Jardim",1717,149160,23275.93,"Alerta: Preço Base Muito Maior"
"Smartphone 690",Eletrônicos,1709,134599,72826.87,"Alerta: Preço Base Muito Maior"
"Jogo de ferramentas 713","Casa e Jardim",1704,149160,18892.5,"Alerta: Preço Base Muito Maior"
"Frango 773",Alimentos,1704,135868,-325498.79,"Alerta: Preço Base Muito Maior"
"Tapete 534","Casa e Jardim",1703,149160,-249982.71,"Alerta: Preço Base Muito Maior"
"Vestido 785",Roupas,1698,158263,-285478.36,"Alerta: Preço Base Muito Maior"
"Smartphone 816",Eletrônicos,1697,134599,-491743.64,"Alerta: Preço Base Muito Maior"
"Skate 924",Esportes,1697,144928,-381366.53,"Alerta: Preço Base Muito Maior"
"História 644",Livros,1697,190052,-523137.5,"Alerta: Preço Base Muito Maior"
"Lâmpada 920","Casa e Jardim",1692,149160,-79036.92,"Alerta: Preço Base Muito Maior"
"Smartphone 289",Eletrônicos,1691,134599,-447050.6,"Alerta: Preço Base Muito Maior"
"Jogo de ferramentas 506","Casa e Jardim",1691,149160,-294204.16,"Alerta: Preço Base Muito Maior"
"Tapete 217","Casa e Jardim",1690,149160,-204483.8,"Alerta: Preço Base Muito Maior"
"Cadeira 974",Móveis,1689,142063,-256688.24,"Alerta: Preço Base Muito Maior"
"Chave de fenda 453",Ferramentas,1688,133253,-437815.24,"Alerta: Preço Base Muito Maior"
"Jogo de ferramentas 892","Casa e Jardim",1688,149160,-424417.31,"Alerta: Preço Base Muito Maior"
"Carrinho 176",Brinquedos,1687,157064,-130750.37,"Alerta: Preço Base Muito Maior"
"Fone de ouvido 927",Eletrônicos,1686,134599,-171618.32,"Alerta: Preço Base Muito Maior"
"Carrinho 844",Brinquedos,1686,157064,-571073.74,"Alerta: Preço Base Muito Maior"
"Bola de futebol 107",Esportes,1683,144928,-501664.33,"Alerta: Preço Base Muito Maior"
"Boneca 736",Brinquedos,1681,157064,-367146.39,"Alerta: Preço Base Muito Maior"
"Raquete de tênis 915",Esportes,1681,144928,-359171.46,"Alerta: Preço Base Muito Maior"
"Martelo 364",Ferramentas,1681,133253,-264831.39,"Alerta: Preço Base Muito Maior"
"Camiseta 723",Roupas,1680,158263,-106925.92,"Alerta: Preço Base Muito Maior"
"Sapato 198",Roupas,1680,158263,-349481.51,"Alerta: Preço Base Muito Maior"
"Sofá 995",Móveis,1679,142063,-343779.02,"Alerta: Preço Base Muito Maior"
"Martelo 245",Ferramentas,1678,133253,-120221.28,"Alerta: Preço Base Muito Maior"
"Ficção Científica 930",Livros,1678,190052,142333.33,"Alerta: Preço Base Muito Maior"
"Bicicleta 309",Brinquedos,1678,157064,-351642.19,"Alerta: Preço Base Muito Maior"
"Romance 115",Livros,1671,190052,-612359.59,"Alerta: Preço Base Muito Maior"
"Bola de futebol 538",Esportes,1670,144928,-56276.8,"Alerta: Preço Base Muito Maior"
"Cama 523",Móveis,1670,142063,-537316.3,"Alerta: Preço Base Muito Maior"
"Boneca 906",Brinquedos,1668,157064,-561720.6,"Alerta: Preço Base Muito Maior"
"Camiseta 833",Roupas,1665,158263,142255.97,"Alerta: Preço Base Muito Maior"
"Biografia 413",Livros,1664,190052,-338214.1,"Alerta: Preço Base Muito Maior"
"Martelo 243",Ferramentas,1660,133253,125965.76,"Alerta: Preço Base Muito Maior"
"Bola 332",Brinquedos,1659,157064,-567562.03,"Alerta: Preço Base Muito Maior"
"Jaqueta 478",Roupas,1659,158263,11144.28,"Alerta: Preço Base Muito Maior"
"Creme hidratante 829",Beleza,1658,148734,-318602.36,"Alerta: Preço Base Muito Maior"
"Arroz 936",Alimentos,1656,135868,23498.26,"Alerta: Preço Base Muito Maior"
"Ficção Científica 537",Livros,1656,190052,-121775.33,"Alerta: Preço Base Muito Maior"
